sentence,predicted,truth
"Why are you buying into the argument that there is a conspiracy to ban guns? Did I say that? Did Obama say that? Did anybody but the NRA say that? Of course not. The issue is ""what can we do to reduce gun deaths in our country"". No one is trying to take your guns away. In the last eight years how many guns has Obama seized?  Zero. Not a single one. I am stunned and saddened that this fear mongering which has proven to be a lie - is still effective today... 
To blame gun violence on a lack of morals or a breakdown of society in America without evidence is absurd. Look at any country in Europe. Compared to them, we are a deeply religious, conservative country. Yet they have a fraction of then the gun violence we have. 
We can keep our guns and reduce gun deaths. To think Americans are stupid, immorale and not capable of problem solving is shocking. I believe in the greatness of this country and its people. And  I'm convinced reason will conquer fear as we move into the future.",0,1
"Actually incorrect Alaska is the third highest dangerous state according to 2016 data.  It's per capita that means people vs crime rate.  When your state has 4million people it makes sense that they have more crime.  When your state only has 700k then the numbers should be Rhode Island low but they aren't, we have high numbers based on our low population.  

The irony is that we aren't considered an area high in poverty or lower education so they can't figure out what's wrong with us... Honestly I think the problem is isolation + lots of places to dispose of bodies .... = tons of psychotic morons",0,1
"If they weren't Muslim there wouldn't be anything said! What's going on in Our country? We have a whole bunch of socialists trying to destroy our way of life, and take every chance they can to do it!",0,1
"Why does Hillary keep getting painted with her husband's sexual activities?  Do you think Trump, who is a well-known womanizer, will soil the White House any less?",0,1
"And the number of wars you've been involved with up-close and personal include? I don't mean baking cookies in some tent back on a FOB somewhere (or similar).... I mean out in the mud and blood enforcing the last 500 meters of national policy where the metal meets the meat. I'm against war, and I've been there. Does that make me a coward? Or is this one of those embarrassing moments when your lack of expertise beyond watching ""Green Zone,"" between games of ""Call of Duty"" has led you to believe you have experience where you do not?

As I recommended to another further down. I have a number of very close friends who don't care for war (based on experience). I'm certain they would explain their reasons to you, and you can explain to them how they are cowards.",0,1
"Not sure why we are even discussing this person, the cops should have just drowned him in the river on the way back to the station. Oh well...",0,1
is that the best ya' got.. shiiiiiiiiiiiiiiiiiiiiiiiiiit!!!,0,1
"I reckon you gotta put Wavemaker on your list of 'People Dave63 is gonna safety check because they are different than Dave63' along with homeless, commies ( lefties, hippies, the media)and homely asexuals. 
Your list must be huge.",0,1
"The only principles he has is Nafta and TPP.  These people are not really conservatives, but Carpetbaggers of the worst ilk.",0,1
"CivilBot
Says:
Greetings! I've detected some questionable ""civil/uncivil"" votes from your account when reviewing the comments of others. Trustworthy ""civil/uncivil"" ratings are important for our community; accounts with patterns of unfair voting will be restricted.
----------------------------------------------------------------------------------------------------------
Just what are you inferring with such generalities as posted above?
Give me some examples, please...
Anybody else getting this crap?",0,1
"Sounds like baloney. In thirty years, this is the first I've heard this particular excuse, for not building a gas line off the slope.  

Nice to know that Exxon is worried about greenhouse gas emissions.  (oh...they really DO care)",0,1
"4:20  POLITICALLY CORRECT is a phrase used to trivialize criticism of an action.  I often refer to the condemnation Dave Frohnmayer received for using the term ""Oriental"" instead of ""Asian"" in a presentation at the U of O as an example of ""political correctness"" run amok.  My concerns and criticisms of Mr. Trump are of a far more serious nature.  I see him as the most unfit candidate for President in the history of our country.....intellectually unfit, morally unfit and emotionally unfit. Those are hardly concerns over not being ""politically correct.""  

I have suggested Mr. Trump, based on his well documented actions and comments, would likely be clinically diagnosed as a sociopath....a condition far more serious that being ""politically incorrect.""  If the worst thing about Mr. Trump as a candidate for President were his being ""politically incorrect"", I would be tremendously relieved.  IMO he's a deeply, deeply flawed man who would be a disaster as President of the United States.",0,1
"""The number of inmates in the state's eight low-security, privately run halfway houses has dropped by 300 people — nearly 40 percent — since 2013.""  It's a power struggle between the DOC and GEO.  GEO has consistently set their own standard of which type of offender that they will, or will not house, and that standard is at odds with the ongoing needs of the DOC.  So the DOC has said ""Fine, then we will cut your client base to below your operational costs.""  ""Show you who is really boss!""  I hope the DOC wins this pissing match, as GEO is an evil parasite.",0,1
"AK Friend:  ""Please don't reply"" is pretty control freakish.  CCA, Cornell, GEO ... all birds of the same feather, interchangeable labels.  They have all negotiated the same contract terms, and whenever a different entity takes over a contract, the former conditions stay in place.  Almost all contracts also have ""unwritten terms"" ... matters covered by statute, convention, or an ""understanding"", which don't need reiteration.

""Geo is also new to Alaska."" ... So, did you work for someone else, here in Alaska, before Geo took over?  If not, then you were not in on the early negotiations.  As for my being a ""know-it-all"", I'm simply being as equally assertive as you.  I'm the other side of your coin.  Everything that I've stated in my comments, have been written or spoken in one or another of Alaska's news sources ... perhaps I've chosen one side of the subject matter, but I'm not stating anything new.

And Janine Belle has every right to consider the both of us to be morons!",0,1
Ann Nuck:  Excuse me but you need another layer of aluminum foil inside your hat. The gibberish is coming out.,0,1
"Well written Bill Sherwonit.  Unlike Lieb's article, which is long on claims and short on facts.  Why let scientific data get in the way of a good bear article.  I find it interesting that his signature says he writes scientific articles.  Where's the Beef, or data in his article.

Maybe Lieb should move down here with us Lower 48 wildlife preservationists if he is so afraid of the brown bear, a lot less bears for him to worry about.  Although there are a lot of squirrel's and chipmunks.  I suppose we could kill all of them too.",0,1
"This ranks all the way up there with Sarah Palin's ""violence"" when she used the word target. Mindless Liberal drivel. The pretence of outrage designed to cloak the many failings of their prefered candidate. The hope and plan is to make so much noise over anything and everything that we all forget just how disgusting Clinton is. In November, we find out how well it worked.",0,1
"An irrational person (criminal/mentally ill) can use anything to justify criminal or anti-social behavior.  The media jumping on an innocent comment and warping it simply provides more opportunity for irrational people to latch on to something.  The Dallas police murderer, Orlando night club murderer, abortion doc murderer, and as you referred, a long sad history of irrational people doing what they want.  There will always be whack jobs who do whatever they want.  Trump's comments were in no way meant to incite violence and to say so is simply playing the outrage card and does nothing to promote civil discourse.  Twisting comments to make political hay is disgusting and intellectually dishonest.",0,1
"Travis, Bill Clinton's sexual escapades included accusations of multiple rapes!  What type of cad would say that no one was hurt?",0,1
"In today's electronic world, everything a candidate says or does is being recorded by someone and will hit the internet in a matter of minutes.  Mr. Trump's many gaffes are videotaped..no ""out of context"" involved.  The man is, again in my opinion, totally unfit to be President.  He doesn't have the intellectual background, the knowledge base, the moral base or the emotional stability to be President.  I have previously posted the definition of a ""sociopath"" and Mr. Trump exhibits every characteristic.  Again, check it out for yourself and make your own decision.  Indeed, the media gives him a lot of coverage..what do you expect.  The man is one of the two major candidates for President of the United States and his actions and comments are ""newsworthy.""  They may be strange. They may be bizarre.  They may harm his chances to be elected.  But, in the end, they are his actions and comments.  Don't get mad at that ""damn liberal media"".  Get mad a Trump for being such a terrible candidate.",0,1
Show Ms. Deluxe the door.  Then she can have all the time in the world to click glasses with lobbyists and any other creepy crawly that she's interested in rubbing noses with.,0,1
"This reminds me of the city's failed S. Willamette rezoning proposal.  (SW-SAZ) The city became bogged-down from the upheaval and opposition from four city chartered neighborhood associations.  So, the city and mayor hired the Oregon Consensus who submitted their assessment.

The mayor didn't like the OC assessment, ignored it, and has now gone rogue and invited the entire community to her dog-and-pony-show of a forum.  To be heard September 19th.   

The same with probably happen with an assessment of downtown.  The city will ignore the parts they don't like; the parts that will make them look like fools.",0,1
"""when Oregonians, thankfully, overwhelmingly rejected it.""

Oregonians rejected it, and that's a good thing, but it's mitigated a bit by the fact the Oregon also made it illegal for blacks to be in the state, punishable by a public whipping (39 lashes) every six months until they left.

That is the primary reason why Oregon is one of the whitest states in the nation.",0,1
Governor Walker spending state money like a drunken sailor.,0,1
