sentence,predicted,truth
"At this point, Trump looks much more composed, healthy, energetic and more Presidential than Hilliary. But if you have to vote for a raving, lying, failed, screeching virago, Hilliary is the perfect pick.",0,1
"Bull crap Carl Zimmer and the New York Times, just because New York was founded in Africa that does not mean the rest of us are from Africa.",0,1
I predict you will be killed by an officer at your next traffic stop.,0,1
Screw you. Re-read my 2nd sentence.,0,1
"What's ""unfortunate"" about the fact that some African-American athletes refuse to stand for the singing of the Star Spangled Banner? Standing for the singing of the national anthem denotes acceptance of a form of patriotism that celebrates inequality and gross injustice not to mention mindless conformity. Watching people robotically rise for the singing of the anthem always gave me the creeps so much so that I never stood in the rare occasion I was exposed to it but instead simply looked around incredulous that people actually swallow such drivel without question. 
We shouldn't do away with the song for the sake of political correctness, no, we should get rid of it because it's a stupid, violent, racist song about a stupid, violent, racist country. It'd be like the first step in a 12 step program  to help Americans rid themselves of compulsively stupid behavior.",0,1
Kill him,0,1
"Yep, life sucks then you die.",0,1
"Was there this much outrage over Neil Abercrombie's infamous ""Fn¢k You."" letter back in 1978?",0,1
This report is a lie.,0,1
"It's not rocket science to understand that when you open fire on people, even to scare them, and exchange gun fire with police it's not likely to be a peaceful ending.  Too bad Mr. Musser was mentally unstable to give himself up.",0,1
"Sad. A guy runs strangers off his property and SWAT comes rolling in to torment him to death. Damned pitiful tactics.

Sad.",0,1
"Shooting to police,dui's  and not paying his taxes he must have some black in him because only black people would do something like that.",0,1
lick my nuts.,0,1
"Jennifer, you are a racist, bigot who sadly doesn't possess the intelligence to distinguish between legal and illegal immigrants.",0,1
What if you are being served for a lawsuit? If you didn't order anything you get to shoot the FedEx guy?,0,1
I will Burn your house down,0,1
I will burn your house down,0,1
"I can't decide which is the more disgusting, phony, imposter - Trump, or Cruz",0,1
"Everytime I hear or see this I say THANK GOD I'M WHITE! I am terrified for my for my black relatives. I cannot imagine trying to raise black children in today's world. They are being killed over the stupidist reasons LEO can come up with! It breaks my brother's heart when his fellow LEO kill unarmed black people. He is LEO, we have many black relatives. This behavior is demoralizing. He dedicates his life to help people in the worst and most dangerous times of their life regardless of color and at the same time praying and hoping that his fellow LEO does the same for our relatives in other states knowing full well LEO is killing unarmed blacks every week! How is that right? What is LEO doing to heal our communities?? How can the black communities feel LEO is protecting not persecuting and shooting at the slightest real or imagined threat? 

If you see a weapon then SHOOT! Don't shoot until you see a weapon!! 

My family kneels. We are patriotic, LEO killing unarmed civilians is not.",0,1
C'mon man anybody that gets up and tells everybody they one bad ass brother has a freaking problem. And he's a mayor? Under indictment for abuse of a county credit card? And now not reporting income for land sales? This is just sad. This is just another stupid drunk big talking like he's the man. I used to have so much respect for Billy. His speech to HPU grads was awesome. Awesome. Billy you gotta put down the bottle brother.,0,1
"No, and it's perfectly legal. 
""Three generations of imbeciles are enough.""
https://www.law.cornell.edu/supremecourt/text/274/200",0,1
well they'll have a hard time with that. they just recovered his body; you're a turd,0,1
Could you please interpret the 14th Admendment for us ignorant minions as well?,0,1
"Becoming religious does not make you violent, but going to Afghanistan and becoming religious can. When in Afghanistan and seeing grown men have sex with young boys and goats after maghrib it's pretty difficult not to judge.  When their 'prophet' and founder Mohammed married a 6 year old and was screwing her by 10 years of age, respect is hard to come by, I don't like pedophiles.
Verses in the Qur'an call for violence against all who do not believe in Allah. 
I know good people exist who practice Islam but the radical Muslims are like an ever spreading stage 4 cancer.",0,1
